Date,AssetA_Close,AssetB_Close
2023-01-01,30028.256156545747,29119.135522406556
2023-01-02,29977.412818597037,28978.790750098076
2023-01-03,30235.001623921384,28959.89726132059
2023-01-04,30170.44712352118,29319.797042311046
2023-01-05,30194.987115964304,29187.217645317232
2023-01-06,30487.09609080619,29224.90644241947
2023-01-07,29978.48111740351,29182.009620760888
2023-01-08,30408.03709354252,29181.41300405837
2023-01-09,30565.80144677046,29358.081085269423
2023-01-10,30433.352889345788,29411.460474890057
2023-01-11,30375.252663473697,29166.14116353217
2023-01-12,30735.554216482436,29583.14405140858
2023-01-13,30721.86729284798,29428.51471556158
2023-01-14,30451.644696111638,29608.226803874848
2023-01-15,30467.1807946795,29607.767559323664
2023-01-16,30530.865795381713,29364.589403137543
2023-01-17,30875.642705957503,29606.031654346618
2023-01-18,30834.81384368468,29593.575391103615
2023-01-19,31036.055051759595,29683.918411754938
2023-01-20,31049.507115918183,29700.645246311575
2023-01-21,30981.45974438924,29642.269677057488
2023-01-22,31080.961804473853,29859.75863727475
2023-01-23,31081.204334473536,29779.629258592046
2023-01-24,31223.700522382143,30012.757893062684
2023-01-25,31181.13870063886,29775.80849139119
2023-01-26,31292.244963569236,30189.30702718049
2023-01-27,31246.404111858516,29927.0179065175
2023-01-28,31473.969780413518,29953.673830035896
2023-01-29,31268.14762765462,30020.39254840952
2023-01-30,31330.8036062189,30202.807458333453
2023-01-31,31516.595204544963,30061.032477362514
2023-02-01,31730.52033985799,30150.46037751219
2023-02-02,31634.765980078522,30144.288487461567
2023-02-03,31658.25938902486,30047.426457883794
2023-02-04,31834.536087497152,30244.148607262974
2023-02-05,31846.33652594912,30508.334557798415
2023-02-06,32155.422536534857,30462.96279894797
2023-02-07,32070.487440906454,30519.61400022798
2023-02-08,32229.79065138999,30578.274582973416
2023-02-09,32010.516268732063,30617.256910604145
